Right ascension,Declination,g_band_magnitude,r_band_magnitude,i_band_magnitude,redshift,Arc Radius $R_A$ (arcsec),Field,Seeing,Exposition,gMi,gMr,rMi
215.3264583,52.8395472,21.4,19.89,19.14,0.47,2.8,D3,0.732,81.0,2.259999999999998,1.509999999999998,0.75
215.7430833,51.4109722,22.78,21.75,20.8,0.74,1.9,W3,0.701,81.0,1.9800000000000004,1.0300000000000011,0.9499999999999993
215.9552917,57.44275,23.2,22.15,21.21,0.69,2.2,W3,0.629,80.0,1.9899999999999984,1.0500000000000007,0.9399999999999977
216.4344583,57.1234639,25.45,23.87,22.53,0.86,4.5,W3,0.661,80.0,2.919999999999998,1.5799999999999983,1.3399999999999999
216.5335,57.7566389,20.56,19.49,18.99,0.39,3.2,W3,0.661,80.0,1.5700000000000003,1.0700000000000003,0.5
217.0439167,56.6634333,17.67,16.76,16.3,0.8,4.1,W3,0.541,80.0,1.370000000000001,0.9100000000000001,0.46000000000000085
217.1450833,52.2184556,22.28,20.75,19.94,0.52,5.0,W3,0.632,81.0,2.34,1.5300000000000011,0.8099999999999987
217.5027083,55.7799917,21.58,20.02,19.12,0.55,4.3,W3,0.81,80.0,2.4599999999999973,1.5599999999999987,0.8999999999999986
217.9157083,55.5563361,21.83,20.57,19.42,0.71,3.0,W3,0.81,80.0,2.4099999999999966,1.259999999999998,1.1499999999999986
217.9694583,57.4768694,22.87,21.52,20.19,0.83,3.5,W3,0.743,80.0,2.6799999999999997,1.3500000000000014,1.3299999999999983
218.516125,51.3600194,19.98,18.66,18.06,0.39,2.6,W3,0.695,63.0,1.9200000000000017,1.3200000000000003,0.6000000000000014
218.6445417,56.9889361,21.19,19.63,18.74,0.57,4.1,W3,,,2.450000000000003,1.5600000000000023,0.8900000000000006
330.4657917,4.1690056,18.53,17.73,17.19,0.43,7.3,W4,,,1.3399999999999999,0.8000000000000007,0.5399999999999991
330.5069167,1.7859917,18.82,17.63,17.07,0.3,5.0,W4,0.466,80.0,1.75,1.1900000000000013,0.5599999999999987
330.8709583,2.0885806,21.24,19.99,19.37,0.38,2.6,W4,0.55,80.0,1.8699999999999974,1.25,0.6199999999999974
331.2788333,1.7843639,21.2,19.91,19.15,0.46,2.1,W4,0.55,80.0,2.0500000000000007,1.2899999999999991,0.7600000000000016
331.675125,4.1919028,21.2,19.81,18.88,0.62,3.7,W4,,,2.3200000000000003,1.3900000000000006,0.9299999999999997
333.278875,-0.5102917,21.19,19.98,18.81,0.69,2.8,W4,0.59,80.0,2.3800000000000026,1.2100000000000009,1.1700000000000017
333.3827083,0.8100389,23.37,21.87,20.56,1.0,4.8,W4,0.707,80.0,2.8100000000000023,1.5,1.3100000000000023
333.539875,-17.5156194,22.63,21.08,19.85,0.83,7.4,D4,0.59,80.0,2.7799999999999976,1.5500000000000007,1.2299999999999969
333.5784167,1.1760694,20.31,19.24,18.84,0.74,,W4,0.707,80.0,1.4699999999999989,1.0700000000000003,0.3999999999999986
334.3724167,-0.6435,19.93,18.94,18.32,0.78,1.9,W4,0.679,63.0,1.6099999999999994,0.9899999999999984,0.620000000000001
335.43225,-0.8841361,19.36,17.98,17.35,0.39,4.7,W4,0.744,41.0,2.009999999999998,1.379999999999999,0.629999999999999
